Survived,Passenger Class,Name,Gender,Sibling Spouse,Parent Children,Ticket,Fare,Cabin,Birthday
0,3,"Braund, Mr. Owen Harris",male,1,0,A/5 21171,$7.25,,1891-03-04
1,3,"Heikkinen, Miss. Laina",female,0,0,STON/O2. 3101282,$7.925,,1886-12-04
1,1,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",female,1,0,113803,$53.1,C123,1878-02-15
0,3,"Allen, Mr. William Henry",male,0,0,373450,$8.05,,1877-10-02
0,1,"McCarthy, Mr. Timothy J",male,0,0,17463,$51.8625,E46,1858-12-10
0,3,"Palsson, Master. Gosta Leonard",male,3,1,349909,$21.075,,1910-12-23
1,3,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",female,0,2,347742,$11.1333,,1886-02-11
1,3,"Sandstrom, Miss. Marguerite Rut",female,1,1,PP 9549,$16.7,G6,1908-07-21
1,1,"Bonnell, Miss. Elizabeth",female,0,0,113783,$26.55,C103,1854-11-23
0,3,"Saundercock, Mr. William Henry",male,0,0,A/5. 2151,$8.05,,1892-11-02
0,3,"Andersson, Mr. Anders Johan",male,1,5,347082,$31.275,,1873-10-19
0,3,"Vestrom, Miss. Hulda Amanda Adolfina",female,0,0,350406,$7.8542,,1898-05-11
1,2,"Hewlett, Mrs. (Mary D Kingcome) ",female,0,0,248706,$16.0,,1857-07-02
1,2,"Williams, Mr. Charles Eugene",male,0,0,244373,$13.0,,
0,3,"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)",female,1,0,345763,$18.0,,1882-02-12
0,2,"Fynney, Mr. Joseph J",male,0,0,239865,$26.0,,1877-08-30
1,2,"Beesley, Mr. Lawrence",male,0,0,248698,$13.0,D56,1879-01-11
1,1,"Sloper, Mr. William Thompson",male,0,0,113788,$35.5,A6,1885-02-06
0,3,"Palsson, Miss. Torborg Danira",female,3,1,349909,$21.075,,1904-07-01
1,3,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",female,1,5,347077,$31.3875,,1874-06-22
0,1,"Fortune, Mr. Charles Alexander",male,3,2,19950,$263.0,C23 C25 C27,1893-07-25
0,3,"Todoroff, Mr. Lalio",male,0,0,349216,$7.8958,,
0,2,"Wheadon, Mr. Edward H",male,0,0,C.A. 24579,$10.5,,1846-09-21
0,1,"Holverson, Mr. Alexander Oskar",male,1,0,113789,$52.0,,1870-08-26
0,3,"Cann, Mr. Ernest Charles",male,0,0,A./5. 2152,$8.05,,1892-03-22
0,3,"Vander Planke, Miss. Augusta Maria",female,2,0,345764,$18.0,,1894-08-16
0,3,"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)",female,1,0,7546,$9.475,,1872-08-22
0,2,"Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)",female,1,0,11668,$21.0,,1886-03-26
0,3,"Rogers, Mr. William John",male,0,0,S.C./A.4. 23567,$8.05,,
0,3,"Arnold-Franchi, Mrs. Josef (Josefine Franchi)",female,1,0,349237,$17.8,,1894-07-07
0,3,"Panula, Master. Juha Niilo",male,4,1,3101295,$39.6875,,1906-01-11
0,3,"Nosworthy, Mr. Richard Cater",male,0,0,A/4. 39886,$7.8,,1892-01-11
1,2,"Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)",female,1,0,2926,$26.0,,1884-01-27
1,1,"Woolner, Mr. Hugh",male,0,0,19947,$35.5,C52,
1,2,"Rugg, Miss. Emily",female,0,0,C.A. 31026,$10.5,,1891-06-02
1,2,"West, Miss. Constance Mirium",female,1,2,C.A. 34651,$27.75,,1908-01-02
0,3,"Goodwin, Master. William Frederick",male,5,2,CA 2144,$46.9,,1902-01-01
0,1,"Harris, Mr. Henry Birkhardt",male,1,0,36973,$83.475,C83,1868-04-15
0,3,"Skoog, Master. Harald",male,3,2,347088,$27.9,,1909-01-01
1,2,"Nye, Mrs. (Elizabeth Ramell)",female,0,0,C.A. 29395,$10.5,F33,1884-03-25
0,3,"Crease, Mr. Ernest James",male,0,0,S.P. 3464,$8.1583,,1894-02-03
1,3,"Andersson, Miss. Erna Alexandra",female,4,2,3101281,$7.925,,1895-12-19
0,3,"Kink, Mr. Vincenz",male,2,0,315151,$8.6625,,1886-05-21
0,2,"Jenkin, Mr. Stephen Curnow",male,0,0,C.A. 33111,$10.5,,1881-02-25
0,3,"Goodwin, Miss. Lillian Amy",female,5,2,CA 2144,$46.9,,1896-07-23
0,2,"Hood, Mr. Ambrose Jr",male,0,0,S.O.C. 14879,$73.5,,1892-02-26
1,3,"Bing, Mr. Lee",male,0,0,1601,$56.4958,,1880-12-21
0,3,"Moen, Mr. Sigurd Hansen",male,0,0,348123,$7.65,F G73,1887-10-31
0,3,"Staneff, Mr. Ivan",male,0,0,349208,$7.8958,,
0,3,"Moutal, Mr. Rahamin Haim",male,0,0,374746,$8.05,,
1,2,"Caldwell, Master. Alden Gates",male,0,2,248738,$29.0,,1911-06-18
